AssetID,DownloadAttribute,Filetype,Size,PrettyDownloadLink,RawDownloadLink
Tiles068,8K-PNG,zip,960788216,https://ambientCG.com/get?file=Tiles068_8K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Tiles068_0acxlu56/Tiles068_8K-PNG.zip
Fabric021,1K-JPG,zip,5196688,https://ambientCG.com/get?file=Fabric021_1K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Fabric021_f3c0o1xe/Fabric021_1K-JPG.zip
Fabric021,1K-PNG,zip,14164240,https://ambientCG.com/get?file=Fabric021_1K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Fabric021_f3c0o1xe/Fabric021_1K-PNG.zip
Fabric021,2K-JPG,zip,20527504,https://ambientCG.com/get?file=Fabric021_2K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Fabric021_f3c0o1xe/Fabric021_2K-JPG.zip
Fabric021,2K-PNG,zip,56924816,https://ambientCG.com/get?file=Fabric021_2K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Fabric021_f3c0o1xe/Fabric021_2K-PNG.zip
Fabric021,4K-JPG,zip,80026128,https://ambientCG.com/get?file=Fabric021_4K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Fabric021_f3c0o1xe/Fabric021_4K-JPG.zip
Fabric021,4K-PNG,zip,223353424,https://ambientCG.com/get?file=Fabric021_4K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Fabric021_f3c0o1xe/Fabric021_4K-PNG.zip
Fabric021,8K-JPG,zip,338869008,https://ambientCG.com/get?file=Fabric021_8K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Fabric021_f3c0o1xe/Fabric021_8K-JPG.zip
Fabric021,8K-PNG,zip,897194000,https://ambientCG.com/get?file=Fabric021_8K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Fabric021_f3c0o1xe/Fabric021_8K-PNG.zip
PaintedPlaster004,1K-JPG,zip,5283903,https://ambientCG.com/get?file=PaintedPlaster004_1K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/PaintedPlaster004_zfwv4mac/PaintedPlaster004_1K-JPG.zip
